variablename,namef,Field,entity,name,array,instance,type,primary_key_type,coding_name,concept,description,folder_path,is_multi_select,is_sparse_coding,linkout,longitudinal_axis_type,referenced_entity_field,relationship,title,units
birth_weight_known,f.120.0.0,120,participant,p120_i1,,1,integer,,data_coding_100258,,,Assessment centre > Verbal interview > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=120,,,,Birth weight known | Instance 1,
birth_weight_known,f.120.0.0,120,participant,p120_i2,,2,integer,,data_coding_100258,,,Assessment centre > Verbal interview > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=120,,,,Birth weight known | Instance 2,
country_birth_non_UK,f.20115.0.0,20115,participant,p20115_i0,,0,integer,,data_coding_89,,,Assessment centre > Verbal interview > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20115,,,,Country of Birth (non-UK origin) | Instance 0,
childhood_love,f.20489.0.0,20489,participant,p20489,,,integer,,data_coding_532,,,Online follow-up > Mental health > Traumatic events,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20489,,,,Felt loved as a child,
childhood_physical_abuse,f.20488.0.0,20488,participant,p20488,,,integer,,data_coding_532,,,Online follow-up > Mental health > Traumatic events,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20488,,,,Physically abused by family as a child,
childhood_hate,f.20487.0.0,20487,participant,p20487,,,integer,,data_coding_532,,,Online follow-up > Mental health > Traumatic events,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20487,,,,Felt hated by family member as a child,
childhood_sex_abuse,f.20490.0.0,20490,participant,p20490,,,integer,,data_coding_532,,,Online follow-up > Mental health > Traumatic events,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20490,,,,Sexually molested as a child,
childhood_doctor,f.20491.0.0,20491,participant,p20491,,,integer,,data_coding_532,,,Online follow-up > Mental health > Traumatic events,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20491,,,,Someone to take to doctor when needed as a child,
sle.0.0,f.6145.0.0,6145,participant,p6145_i0,,0,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 0",
sle.0.0,f.6145.0.0,6145,participant,p6145_i1,,1,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 1",
sle.0.0,f.6145.0.0,6145,participant,p6145_i2,,2,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 2",
sle.0.0,f.6145.0.0,6145,participant,p6145_i3,,3,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 3",
sle.0.1,f.6145.0.1,6145,participant,p6145_i0,,0,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 0",
sle.0.1,f.6145.0.1,6145,participant,p6145_i1,,1,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 1",
sle.0.1,f.6145.0.1,6145,participant,p6145_i2,,2,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 2",
sle.0.1,f.6145.0.1,6145,participant,p6145_i3,,3,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 3",
sle.0.2,f.6145.0.2,6145,participant,p6145_i0,,0,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 0",
sle.0.2,f.6145.0.2,6145,participant,p6145_i1,,1,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 1",
sle.0.2,f.6145.0.2,6145,participant,p6145_i2,,2,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 2",
sle.0.2,f.6145.0.2,6145,participant,p6145_i3,,3,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 3",
sle.0.3,f.6145.0.3,6145,participant,p6145_i0,,0,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 0",
sle.0.3,f.6145.0.3,6145,participant,p6145_i1,,1,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 1",
sle.0.3,f.6145.0.3,6145,participant,p6145_i2,,2,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 2",
sle.0.3,f.6145.0.3,6145,participant,p6145_i3,,3,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 3",
sle.0.4,f.6145.0.4,6145,participant,p6145_i0,,0,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 0",
sle.0.4,f.6145.0.4,6145,participant,p6145_i1,,1,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 1",
sle.0.4,f.6145.0.4,6145,participant,p6145_i2,,2,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 2",
sle.0.4,f.6145.0.4,6145,participant,p6145_i3,,3,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 3",
sle.0.5,f.6145.0.5,6145,participant,p6145_i0,,0,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 0",
sle.0.5,f.6145.0.5,6145,participant,p6145_i1,,1,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 1",
sle.0.5,f.6145.0.5,6145,participant,p6145_i2,,2,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 2",
sle.0.5,f.6145.0.5,6145,participant,p6145_i3,,3,integer,,data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 3",
family_visit_freq,f.1031.0.0,1031,participant,p1031_i0,,0,integer,,data_coding_100327,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1031,,,,Frequency of friend/family visits | Instance 0,
family_visit_freq,f.1031.0.0,1031,participant,p1031_i1,,1,integer,,data_coding_100327,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1031,,,,Frequency of friend/family visits | Instance 1,
family_visit_freq,f.1031.0.0,1031,participant,p1031_i2,,2,integer,,data_coding_100327,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1031,,,,Frequency of friend/family visits | Instance 2,
family_visit_freq,f.1031.0.0,1031,participant,p1031_i3,,3,integer,,data_coding_100327,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1031,,,,Frequency of friend/family visits | Instance 3,
social_activity.0.0,f.6160.0.0,6160,participant,p6160_i0,,0,integer,,data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 0,
social_activity.0.0,f.6160.0.0,6160,participant,p6160_i1,,1,integer,,data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 1,
social_activity.0.0,f.6160.0.0,6160,participant,p6160_i2,,2,integer,,data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 2,
social_activity.0.0,f.6160.0.0,6160,participant,p6160_i3,,3,integer,,data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 3,
social_activity.0.1,f.6160.0.1,6160,participant,p6160_i0,,0,integer,,data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 0,
social_activity.0.1,f.6160.0.1,6160,participant,p6160_i1,,1,integer,,data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 1,
social_activity.0.1,f.6160.0.1,6160,participant,p6160_i2,,2,integer,,data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 2,
social_activity.0.1,f.6160.0.1,6160,participant,p6160_i3,,3,integer,,data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 3,
social_activity.0.2,f.6160.0.2,6160,participant,p6160_i0,,0,integer,,data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 0,
social_activity.0.2,f.6160.0.2,6160,participant,p6160_i1,,1,integer,,data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 1,
social_activity.0.2,f.6160.0.2,6160,participant,p6160_i2,,2,integer,,data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 2,
social_activity.0.2,f.6160.0.2,6160,participant,p6160_i3,,3,integer,,data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 3,
social_activity.0.3,f.6160.0.3,6160,participant,p6160_i0,,0,integer,,data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 0,
social_activity.0.3,f.6160.0.3,6160,participant,p6160_i1,,1,integer,,data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 1,
social_activity.0.3,f.6160.0.3,6160,participant,p6160_i2,,2,integer,,data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 2,
social_activity.0.3,f.6160.0.3,6160,participant,p6160_i3,,3,integer,,data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 3,
social_activity.0.4,f.6160.0.4,6160,participant,p6160_i0,,0,integer,,data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 0,
social_activity.0.4,f.6160.0.4,6160,participant,p6160_i1,,1,integer,,data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 1,
social_activity.0.4,f.6160.0.4,6160,participant,p6160_i2,,2,integer,,data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 2,
social_activity.0.4,f.6160.0.4,6160,participant,p6160_i3,,3,integer,,data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 3,
confide_freq,f.2110.0.0,2110,participant,p2110_i0,,0,integer,,data_coding_100501,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2110,,,,Able to confide | Instance 0,
confide_freq,f.2110.0.0,2110,participant,p2110_i1,,1,integer,,data_coding_100501,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2110,,,,Able to confide | Instance 1,
confide_freq,f.2110.0.0,2110,participant,p2110_i2,,2,integer,,data_coding_100501,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2110,,,,Able to confide | Instance 2,
confide_freq,f.2110.0.0,2110,participant,p2110_i3,,3,integer,,data_coding_100501,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2110,,,,Able to confide | Instance 3,
loneliness,f.2020.0.0,2020,participant,p2020_i0,,0,integer,,data_coding_100349,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2020,,,,"Loneliness, isolation | Instance 0",
loneliness,f.2020.0.0,2020,participant,p2020_i1,,1,integer,,data_coding_100349,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2020,,,,"Loneliness, isolation | Instance 1",
loneliness,f.2020.0.0,2020,participant,p2020_i2,,2,integer,,data_coding_100349,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2020,,,,"Loneliness, isolation | Instance 2",
loneliness,f.2020.0.0,2020,participant,p2020_i3,,3,integer,,data_coding_100349,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2020,,,,"Loneliness, isolation | Instance 3",
accommodation_type,f.670.0.0,670,participant,p670_i0,,0,integer,,data_coding_100286,,,Assessment centre > Touchscreen > Sociodemographics > Household,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=670,,,,Type of accommodation lived in | Instance 0,
accommodation_type,f.670.0.0,670,participant,p670_i1,,1,integer,,data_coding_100286,,,Assessment centre > Touchscreen > Sociodemographics > Household,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=670,,,,Type of accommodation lived in | Instance 1,
accommodation_type,f.670.0.0,670,participant,p670_i2,,2,integer,,data_coding_100286,,,Assessment centre > Touchscreen > Sociodemographics > Household,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=670,,,,Type of accommodation lived in | Instance 2,
accommodation_type,f.670.0.0,670,participant,p670_i3,,3,integer,,data_coding_100286,,,Assessment centre > Touchscreen > Sociodemographics > Household,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=670,,,,Type of accommodation lived in | Instance 3,
own_or_rent,f.680.0.0,680,participant,p680_i0,,0,integer,,data_coding_100287,,,Assessment centre > Touchscreen > Sociodemographics > Household,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=680,,,,Own or rent accommodation lived in | Instance 0,
own_or_rent,f.680.0.0,680,participant,p680_i1,,1,integer,,data_coding_100287,,,Assessment centre > Touchscreen > Sociodemographics > Household,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=680,,,,Own or rent accommodation lived in | Instance 1,
own_or_rent,f.680.0.0,680,participant,p680_i2,,2,integer,,data_coding_100287,,,Assessment centre > Touchscreen > Sociodemographics > Household,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=680,,,,Own or rent accommodation lived in | Instance 2,
own_or_rent,f.680.0.0,680,participant,p680_i3,,3,integer,,data_coding_100287,,,Assessment centre > Touchscreen > Sociodemographics > Household,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=680,,,,Own or rent accommodation lived in | Instance 3,
gas_fuel_heat.0.0,f.6139.0.0,6139,participant,p6139_i0,,0,integer,,data_coding_100288,,,Assessment centre > Touchscreen > Sociodemographics > Household,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6139,,,,Gas or solid-fuel cooking/heating | Instance 0,
gas_fuel_heat.0.0,f.6139.0.0,6139,participant,p6139_i1,,1,integer,,data_coding_100288,,,Assessment centre > Touchscreen > Sociodemographics > Household,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6139,,,,Gas or solid-fuel cooking/heating | Instance 1,
gas_fuel_heat.0.0,f.6139.0.0,6139,participant,p6139_i2,,2,integer,,data_coding_100288,,,Assessment centre > Touchscreen > Sociodemographics > Household,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6139,,,,Gas or solid-fuel cooking/heating | Instance 2,
gas_fuel_heat.0.0,f.6139.0.0,6139,participant,p6139_i3,,3,integer,,data_coding_100288,,,Assessment centre > Touchscreen > Sociodemographics > Household,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6139,,,,Gas or solid-fuel cooking/heating | Instance 3,
