Variable,Description,URL,Category,UKB.dataset.ID,Field.ID,entity,name,instance,array,type,primary_key_type,coding_name,concept,description,folder_path,is_multi_select,is_sparse_coding,linkout,longitudinal_axis_type,referenced_entity_field,relationship,title,units
height_10yrs_old,Comparative height size at age 10,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1697,Early life factors,f.1697.0.0,1697,participant,p1697_i2,2,,integer,"",data_coding_100429,,,Assessment centre > Touchscreen > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1697,,,,Comparative height size at age 10 | Instance 2,""
handedness,Handedness (chirality/laterality),https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1707,Early life factors,f.1707.0.0,1707,participant,p1707_i0,0,,integer,"",data_coding_100430,,,Assessment centre > Touchscreen > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1707,,,,Handedness (chirality/laterality) | Instance 0,""
handedness,Handedness (chirality/laterality),https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1707,Early life factors,f.1707.0.0,1707,participant,p1707_i1,1,,integer,"",data_coding_100430,,,Assessment centre > Touchscreen > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1707,,,,Handedness (chirality/laterality) | Instance 1,""
handedness,Handedness (chirality/laterality),https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1707,Early life factors,f.1707.0.0,1707,participant,p1707_i2,2,,integer,"",data_coding_100430,,,Assessment centre > Touchscreen > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1707,,,,Handedness (chirality/laterality) | Instance 2,""
part_multiple_birth,Part of a multiple birth,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1777,Early life factors,f.1777.0.0,1777,participant,p1777_i0,0,,integer,"",data_coding_100349,,,Assessment centre > Touchscreen > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1777,,,,Part of a multiple birth | Instance 0,""
part_multiple_birth,Part of a multiple birth,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1777,Early life factors,f.1777.0.0,1777,participant,p1777_i1,1,,integer,"",data_coding_100349,,,Assessment centre > Touchscreen > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1777,,,,Part of a multiple birth | Instance 1,""
part_multiple_birth,Part of a multiple birth,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1777,Early life factors,f.1777.0.0,1777,participant,p1777_i2,2,,integer,"",data_coding_100349,,,Assessment centre > Touchscreen > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1777,,,,Part of a multiple birth | Instance 2,""
maternal_smoking,Maternal smoking around birth,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1787,Early life factors,f.1787.0.0,1787,participant,p1787_i0,0,,integer,"",data_coding_100349,,,Assessment centre > Touchscreen > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1787,,,,Maternal smoking around birth | Instance 0,""
maternal_smoking,Maternal smoking around birth,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1787,Early life factors,f.1787.0.0,1787,participant,p1787_i1,1,,integer,"",data_coding_100349,,,Assessment centre > Touchscreen > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1787,,,,Maternal smoking around birth | Instance 1,""
maternal_smoking,Maternal smoking around birth,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1787,Early life factors,f.1787.0.0,1787,participant,p1787_i2,2,,integer,"",data_coding_100349,,,Assessment centre > Touchscreen > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1787,,,,Maternal smoking around birth | Instance 2,""
birth_weight,Birth weight,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20022,Early life factors,f.20022.0.0,20022,participant,p20022_i0,0,,float,"","",,,Assessment centre > Verbal interview > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20022,,,,Birth weight | Instance 0,Kg
birth_weight,Birth weight,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20022,Early life factors,f.20022.0.0,20022,participant,p20022_i1,1,,float,"","",,,Assessment centre > Verbal interview > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20022,,,,Birth weight | Instance 1,Kg
birth_weight,Birth weight,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20022,Early life factors,f.20022.0.0,20022,participant,p20022_i2,2,,float,"","",,,Assessment centre > Verbal interview > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20022,,,,Birth weight | Instance 2,Kg
self_illness_injury_assault,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i0,0,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 0",""
self_illness_injury_assault,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i1,1,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 1",""
self_illness_injury_assault,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i2,2,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 2",""
self_illness_injury_assault,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i3,3,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 3",""
relative_illness_injury_assault,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i0,0,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 0",""
relative_illness_injury_assault,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i1,1,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 1",""
relative_illness_injury_assault,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i2,2,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 2",""
relative_illness_injury_assault,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i3,3,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 3",""
death_relative,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i0,0,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 0",""
death_relative,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i1,1,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 1",""
death_relative,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i2,2,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 2",""
death_relative,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i3,3,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 3",""
death_partner,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i0,0,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 0",""
death_partner,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i1,1,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 1",""
death_partner,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i2,2,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 2",""
death_partner,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i3,3,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 3",""
divorce,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i0,0,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 0",""
divorce,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i1,1,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 1",""
divorce,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i2,2,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 2",""
divorce,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i3,3,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 3",""
financial_difficulty,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i0,0,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 0",""
financial_difficulty,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i1,1,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 1",""
financial_difficulty,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i2,2,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 2",""
financial_difficulty,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6145,participant,p6145_i3,3,,integer,"",data_coding_100502,,,Assessment centre > Touchscreen > Psychosocial factors > Mental health,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145,,,,"Illness, injury, bereavement, stress in last 2 years | Instance 3",""
family_visit_freq,Frequency of friend/family visits,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1031,Social support,f.1031.0.0,1031,participant,p1031_i0,0,,integer,"",data_coding_100327,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1031,,,,Frequency of friend/family visits | Instance 0,""
family_visit_freq,Frequency of friend/family visits,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1031,Social support,f.1031.0.0,1031,participant,p1031_i1,1,,integer,"",data_coding_100327,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1031,,,,Frequency of friend/family visits | Instance 1,""
family_visit_freq,Frequency of friend/family visits,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1031,Social support,f.1031.0.0,1031,participant,p1031_i2,2,,integer,"",data_coding_100327,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1031,,,,Frequency of friend/family visits | Instance 2,""
family_visit_freq,Frequency of friend/family visits,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1031,Social support,f.1031.0.0,1031,participant,p1031_i3,3,,integer,"",data_coding_100327,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1031,,,,Frequency of friend/family visits | Instance 3,""
gym,Leisure/social activities,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6160,Social support,f.6160.0.0 - f.6160.0.4,6160,participant,p6160_i0,0,,integer,"",data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 0,""
gym,Leisure/social activities,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6160,Social support,f.6160.0.0 - f.6160.0.4,6160,participant,p6160_i1,1,,integer,"",data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 1,""
gym,Leisure/social activities,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6160,Social support,f.6160.0.0 - f.6160.0.4,6160,participant,p6160_i2,2,,integer,"",data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 2,""
gym,Leisure/social activities,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6160,Social support,f.6160.0.0 - f.6160.0.4,6160,participant,p6160_i3,3,,integer,"",data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 3,""
pub,Leisure/social activities,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6160,Social support,f.6160.0.0 - f.6160.0.4,6160,participant,p6160_i0,0,,integer,"",data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 0,""
pub,Leisure/social activities,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6160,Social support,f.6160.0.0 - f.6160.0.4,6160,participant,p6160_i1,1,,integer,"",data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 1,""
pub,Leisure/social activities,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6160,Social support,f.6160.0.0 - f.6160.0.4,6160,participant,p6160_i2,2,,integer,"",data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 2,""
pub,Leisure/social activities,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6160,Social support,f.6160.0.0 - f.6160.0.4,6160,participant,p6160_i3,3,,integer,"",data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 3,""
religious_group,Leisure/social activities,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6160,Social support,f.6160.0.0 - f.6160.0.4,6160,participant,p6160_i0,0,,integer,"",data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 0,""
religious_group,Leisure/social activities,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6160,Social support,f.6160.0.0 - f.6160.0.4,6160,participant,p6160_i1,1,,integer,"",data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 1,""
religious_group,Leisure/social activities,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6160,Social support,f.6160.0.0 - f.6160.0.4,6160,participant,p6160_i2,2,,integer,"",data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 2,""
religious_group,Leisure/social activities,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6160,Social support,f.6160.0.0 - f.6160.0.4,6160,participant,p6160_i3,3,,integer,"",data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 3,""
adult_education,Leisure/social activities,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6160,Social support,f.6160.0.0 - f.6160.0.4,6160,participant,p6160_i0,0,,integer,"",data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 0,""
adult_education,Leisure/social activities,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6160,Social support,f.6160.0.0 - f.6160.0.4,6160,participant,p6160_i1,1,,integer,"",data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 1,""
adult_education,Leisure/social activities,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6160,Social support,f.6160.0.0 - f.6160.0.4,6160,participant,p6160_i2,2,,integer,"",data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 2,""
adult_education,Leisure/social activities,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6160,Social support,f.6160.0.0 - f.6160.0.4,6160,participant,p6160_i3,3,,integer,"",data_coding_100328,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,yes,"",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160,,,,Leisure/social activities | Instance 3,""
confide_freq,Able to confide,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2110,Social support,f.2110.0.0,2110,participant,p2110_i0,0,,integer,"",data_coding_100501,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2110,,,,Able to confide | Instance 0,""
confide_freq,Able to confide,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2110,Social support,f.2110.0.0,2110,participant,p2110_i1,1,,integer,"",data_coding_100501,,,Assessment centre > Touchscreen > Psychosocial factors > Social support,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2110,,,,Able to confide | Instance 1,""
